Ligand	Receptor	genes	pth_name
bdnf	ntrk2a	bdnf	bdnf
bdnf	ngfra	bdnf	bdnf
bdnf	sort1b	bdnf	bdnf
bdnf	sort1a	bdnf	bdnf
rgma	bmpr1ba	bmp	bmp
rgmb	bmpr1ba	bmp	bmp
rca2.1	bmpr2a	bmp	bmp
rgma	bmpr2a	bmp	bmp
rgmb	bmpr2a	bmp	bmp
cxcl12a	cxcr4a	cxc	chemokine
cxcl12a	sdc4	cxc	chemokine
cxcl12a	ackr3b	cxc	chemokine
tgfb1a	cxcr4a	cxc	chemokine
adam10a	epha3	adam	epha
efna1a	epha3	efn	epha
efna1b	epha3	efn	epha
efna2a	epha3	efn	epha
efna3a	epha3	efn	epha
efnb2a	epha3	efn	epha
efna1a	epha4l	efn	epha
efna1b	epha4l	efn	epha
efna2a	epha4l	efn	epha
efna3a	epha4l	efn	epha
efnb2a	epha4l	efn	epha
efnb3b	epha4l	efn	epha
efna1b	epha6	efn	epha
efna1a	epha6	efn	epha
efna2a	epha6	efn	epha
efna3a	epha6	efn	epha
efnb2a	epha6	efn	epha
efna1a	epha7	efn	epha
efna1b	epha7	efn	epha
efna2a	epha7	efn	epha
efna3a	epha7	efn	epha
efnb2a	ephb2b	efn	epha
efnb3b	ephb2b	efn	epha
vegfaa	ephb2b	vegf	epha
vegfab	ephb2b	vegf	epha
efnb2a	ephb3a	efn	epha
efnb3b	ephb3a	efn	epha
fgf12a	fgfr3	fgf	fgf
fgf12b	fgfr3	fgf	fgf
fgf12b	fgfr4	fgf	fgf
fgf12a	fgfr4	fgf	fgf
fgf12a	fgfr1a	fgf	fgf
fgf12b	fgfr1a	fgf	fgf
fgf12b	fgfr2	fgf	fgf
fgf12a	fgfr2	fgf	fgf
fgf13b	fgfr3	fgf	fgf
fgf13a	fgfr3	fgf	fgf
fgf13a	fgfr4	fgf	fgf
fgf13b	fgfr4	fgf	fgf
fgf13b	fgfr1a	fgf	fgf
fgf13a	fgfr1a	fgf	fgf
fgf13a	fgfr2	fgf	fgf
fgf13b	fgfr2	fgf	fgf
fgf13a	scn8aa	fgf	fgf
fgf13b	scn8aa	fgf	fgf
ncam1b	fgfr1a	fgf	fgf
ncam1a	fgfr1a	fgf	fgf
ncam1a	fgfr2	fgf	fgf
ncam1b	fgfr2	fgf	fgf
igf2a	insra	igf2	igf
igf2b	insra	igf2	igf
igf2a	igf1rb	igf2	igf
igf2b	igf1rb	igf2	igf
jag1b	notch1b	jag	notch
jag1b	notch1a	jag	notch
jag1b	notch3	jag	notch
jag1b	notch2	jag	notch
jag2b	notch1b	jag	notch
jag2b	notch1a	jag	notch
jag2b	notch3	jag	notch
jag2b	notch2	jag	notch
mfap2	notch1b	mfap	notch
mfap2	notch1a	mfap	notch
mfap5	notch1b	mfap	notch
mfap5	notch1a	mfap	notch
dld	notch1b	notch	notch
dla	notch1b	notch	notch
dla	notch1a	notch	notch
dld	notch1a	notch	notch
dld	notch3	notch	notch
dla	notch3	notch	notch
dld	notch2	notch	notch
dla	notch2	notch	notch
dll4	notch1b	notch	notch
dll4	notch1a	notch	notch
dll4	notch3	notch	notch
dll4	notch2	notch	notch
adam17a	notch1a	notch	notch
psen1	notch1a	notch	notch
adam17a	notch1b	notch	notch
psen1	notch1b	notch	notch
psen1	notch2	notch	notch
psen1	notch3	notch	notch
agrn	atp1a3a	agrn	others_agrn
agrn	atp1a3b	agrn	others_agrn
appa	gpc1b	appa	others_appa
appa	gpc1a	appa	others_appa
appa	lrp1ab	appa	others_appa
appa	lrp1aa	appa	others_appa
appa	ngfra	appa	others_appa
appa	tnfrsf21	appa	others_appa
appa	cd74a	appa	others_appa
ctgfa	egfra	ctgfa	others_ctgfa
ctgfa	lrp1ab	ctgfa	others_ctgfa
ctgfa	lrp1aa	ctgfa	others_ctgfa
ctgfa	lrp6	ctgfa	others_ctgfa
gnai2b	adcy8	gnai	others_gnai
gnai2a	adcy8	gnai	others_gnai
gnai2b	drd2b	gnai	others_gnai
gnai2a	drd2b	gnai	others_gnai
gnai2a	s1pr1	gnai	others_gnai
gnai2b	s1pr1	gnai	others_gnai
gnai2a	igf1rb	gnai	others_gnai
gnai2b	igf1rb	gnai	others_gnai
gnai2b	adcy7	gnai	others_gnai
gnai2a	adcy7	gnai	others_gnai
gnai2a	oprd1b	gnai	others_gnai
gnai2b	oprd1b	gnai	others_gnai
gnai2b	ptprub	gnai	others_gnai
gnai2a	ptprub	gnai	others_gnai
gnai2a	ptprua	gnai	others_gnai
gnai2b	ptprua	gnai	others_gnai
hbegfa	egfra	hbegfa	others_hbegfa
hbegfa	cd9b	hbegfa	others_hbegfa
hbegfa	cd9a	hbegfa	others_hbegfa
hbegfa	prlra	hbegfa	others_hbegfa
hbegfa	cd82a	hbegfa	others_hbegfa
hbegfa	cd82b	hbegfa	others_hbegfa
penkb	ogfr	penk	others_penk_ptn
penka	ogfr	penk	others_penk_ptn
penkb	oprd1b	penk	others_penk_ptn
penka	oprd1b	penk	others_penk_ptn
ptn	cdh6	ptn	others_penk_ptn
ptn	ptprsa	ptn	others_penk_ptn
ptn	CABZ01080702.1	ptn	others_penk_ptn
ptn	plxnb2a	ptn	others_penk_ptn
ptn	ptprz1b	ptn	others_penk_ptn
ptn	ptprz1a	ptn	others_penk_ptn
serpine1	lrp1ab	serpine	others_serpine
serpine1	lrp1aa	serpine	others_serpine
serpine1	itgav	serpine	others_serpine
serpine1	lrp2a	serpine	others_serpine
serpine1	itgb5	serpine	others_serpine
serpine2	lrp1ab	serpine	others_serpine
serpine2	lrp1aa	serpine	others_serpine
edil3a	itgav	edil3a	others_edil
edil3a	itgb5	edil3a	others_edil
wnt7aa	lrp6	wnt	wnt
wnt7aa	fzd9b	wnt	wnt
