"Gene.stable.ID"	"Transcript.stable.ID"	"Gene.name"	"Zebrafish.gene.stable.ID"	"Zebrafish.gene.name"
"115"	"ENSG00000277377"	"ENST00000627595"	"SERPINA1"	""	""
"116"	"ENSG00000277377"	"ENST00000628155"	"SERPINA1"	""	""
"117"	"ENSG00000277377"	"ENST00000627096"	"SERPINA1"	""	""
"118"	"ENSG00000277377"	"ENST00000627178"	"SERPINA1"	""	""
"119"	"ENSG00000277377"	"ENST00000627097"	"SERPINA1"	""	""
"120"	"ENSG00000277377"	"ENST00000625467"	"SERPINA1"	""	""
"121"	"ENSG00000277377"	"ENST00000629711"	"SERPINA1"	""	""
"122"	"ENSG00000277377"	"ENST00000629092"	"SERPINA1"	""	""
"123"	"ENSG00000277377"	"ENST00000626480"	"SERPINA1"	""	""
"124"	"ENSG00000277377"	"ENST00000631256"	"SERPINA1"	""	""
"125"	"ENSG00000277377"	"ENST00000625866"	"SERPINA1"	""	""
"126"	"ENSG00000277377"	"ENST00000618636"	"SERPINA1"	""	""
"127"	"ENSG00000277377"	"ENST00000620666"	"SERPINA1"	""	""
"128"	"ENSG00000277377"	"ENST00000614317"	"SERPINA1"	""	""
"236"	"ENSG00000196468"	"ENST00000439435"	"FGF16"	"ENSDARG00000042233"	"fgf16"
"272"	"ENSG00000168229"	"ENST00000306051"	"PTGDR"	""	""
"273"	"ENSG00000168229"	"ENST00000553372"	"PTGDR"	""	""
"342"	"ENSG00000105464"	"ENST00000263269"	"GRIN2D"	"ENSDARG00000086207"	"grin2da"
"343"	"ENSG00000105464"	"ENST00000263269"	"GRIN2D"	"ENSDARG00000070620"	"grin2db"
"635"	"ENSG00000276739"	"ENST00000620817"	"KIR3DL2"	""	""
"636"	"ENSG00000276739"	"ENST00000618273"	"KIR3DL2"	""	""
"956"	"ENSG00000125910"	"ENST00000591346"	"S1PR4"	"ENSDARG00000074851"	"s1pr4"
"957"	"ENSG00000125910"	"ENST00000246115"	"S1PR4"	"ENSDARG00000074851"	"s1pr4"
"958"	"ENSG00000165029"	"ENST00000374736"	"ABCA1"	"ENSDARG00000074635"	"abca1a"
"959"	"ENSG00000165029"	"ENST00000494467"	"ABCA1"	"ENSDARG00000074635"	"abca1a"
"960"	"ENSG00000165029"	"ENST00000423487"	"ABCA1"	"ENSDARG00000074635"	"abca1a"
"961"	"ENSG00000165029"	"ENST00000374733"	"ABCA1"	"ENSDARG00000074635"	"abca1a"
"977"	"ENSG00000112715"	"ENST00000476772"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"978"	"ENSG00000112715"	"ENST00000372067"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"979"	"ENSG00000112715"	"ENST00000324450"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"980"	"ENSG00000112715"	"ENST00000417285"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"981"	"ENSG00000112715"	"ENST00000413642"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"982"	"ENSG00000112715"	"ENST00000372055"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"983"	"ENSG00000112715"	"ENST00000482630"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"984"	"ENSG00000112715"	"ENST00000425836"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"985"	"ENSG00000112715"	"ENST00000372064"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"986"	"ENSG00000112715"	"ENST00000372077"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"987"	"ENSG00000112715"	"ENST00000519767"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"988"	"ENSG00000112715"	"ENST00000520948"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"989"	"ENSG00000112715"	"ENST00000518538"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"990"	"ENSG00000112715"	"ENST00000523873"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"991"	"ENSG00000112715"	"ENST00000523950"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"992"	"ENSG00000112715"	"ENST00000512683"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"993"	"ENSG00000112715"	"ENST00000457104"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"994"	"ENSG00000112715"	"ENST00000518689"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"995"	"ENSG00000112715"	"ENST00000523125"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"996"	"ENSG00000112715"	"ENST00000518824"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"997"	"ENSG00000112715"	"ENST00000230480"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"998"	"ENSG00000112715"	"ENST00000480614"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"999"	"ENSG00000112715"	"ENST00000520265"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1000"	"ENSG00000112715"	"ENST00000497139"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1001"	"ENSG00000112715"	"ENST00000493786"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1002"	"ENSG00000112715"	"ENST00000611736"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1003"	"ENSG00000112715"	"ENST00000621747"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1004"	"ENSG00000112715"	"ENST00000617771"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1005"	"ENSG00000112715"	"ENST00000640653"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1006"	"ENSG00000112715"	"ENST00000615393"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1007"	"ENSG00000112715"	"ENST00000640482"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1008"	"ENSG00000112715"	"ENST00000640499"	"VEGFA"	"ENSDARG00000103542"	"vegfaa"
"1009"	"ENSG00000112715"	"ENST00000476772"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1010"	"ENSG00000112715"	"ENST00000372067"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1011"	"ENSG00000112715"	"ENST00000324450"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1012"	"ENSG00000112715"	"ENST00000417285"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1013"	"ENSG00000112715"	"ENST00000413642"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1014"	"ENSG00000112715"	"ENST00000372055"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1015"	"ENSG00000112715"	"ENST00000482630"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1016"	"ENSG00000112715"	"ENST00000425836"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1017"	"ENSG00000112715"	"ENST00000372064"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1018"	"ENSG00000112715"	"ENST00000372077"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1019"	"ENSG00000112715"	"ENST00000519767"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1020"	"ENSG00000112715"	"ENST00000520948"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1021"	"ENSG00000112715"	"ENST00000518538"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1022"	"ENSG00000112715"	"ENST00000523873"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1023"	"ENSG00000112715"	"ENST00000523950"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1024"	"ENSG00000112715"	"ENST00000512683"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1025"	"ENSG00000112715"	"ENST00000457104"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1026"	"ENSG00000112715"	"ENST00000518689"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1027"	"ENSG00000112715"	"ENST00000523125"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1028"	"ENSG00000112715"	"ENST00000518824"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1029"	"ENSG00000112715"	"ENST00000230480"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1030"	"ENSG00000112715"	"ENST00000480614"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1031"	"ENSG00000112715"	"ENST00000520265"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1032"	"ENSG00000112715"	"ENST00000497139"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1033"	"ENSG00000112715"	"ENST00000493786"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1034"	"ENSG00000112715"	"ENST00000611736"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1035"	"ENSG00000112715"	"ENST00000621747"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1036"	"ENSG00000112715"	"ENST00000617771"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1037"	"ENSG00000112715"	"ENST00000640653"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1038"	"ENSG00000112715"	"ENST00000615393"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1039"	"ENSG00000112715"	"ENST00000640482"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1040"	"ENSG00000112715"	"ENST00000640499"	"VEGFA"	"ENSDARG00000034700"	"vegfab"
"1213"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000015955"	"cldnc"
"1214"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000015955"	"cldnc"
"1215"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000015955"	"cldnc"
"1216"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000015955"	"cldnc"
"1217"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000015955"	"cldnc"
"1218"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000069503"	"cldnh"
"1219"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000069503"	"cldnh"
"1220"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000069503"	"cldnh"
"1221"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000069503"	"cldnh"
"1222"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000069503"	"cldnh"
"1223"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000043133"	"cldnf"
"1224"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000043133"	"cldnf"
"1225"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000043133"	"cldnf"
"1226"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000043133"	"cldnf"
"1227"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000043133"	"cldnf"
"1228"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000069505"	"CLDN4 (1 of many)"
"1229"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000069505"	"CLDN4 (1 of many)"
"1230"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000069505"	"CLDN4 (1 of many)"
"1231"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000069505"	"CLDN4 (1 of many)"
"1232"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000069505"	"CLDN4 (1 of many)"
"1233"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000003701"	"cldng"
"1234"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000003701"	"cldng"
"1235"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000003701"	"cldng"
"1236"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000003701"	"cldng"
"1237"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000003701"	"cldng"
"1238"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000069888"	"cldna"
"1239"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000069888"	"cldna"
"1240"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000069888"	"cldna"
"1241"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000069888"	"cldna"
"1242"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000069888"	"cldna"
"1243"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000009215"	"CLDN4 (1 of many)"
"1244"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000009215"	"CLDN4 (1 of many)"
"1245"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000009215"	"CLDN4 (1 of many)"
"1246"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000009215"	"CLDN4 (1 of many)"
"1247"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000009215"	"CLDN4 (1 of many)"
"1248"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000006580"	"cldnd"
"1249"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000006580"	"cldnd"
"1250"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000006580"	"cldnd"
"1251"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000006580"	"cldnd"
"1252"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000006580"	"cldnd"
"1253"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000009544"	"cldnb"
"1254"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000009544"	"cldnb"
"1255"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000009544"	"cldnb"
"1256"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000009544"	"cldnb"
"1257"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000009544"	"cldnb"
"1258"	"ENSG00000189143"	"ENST00000466411"	"CLDN4"	"ENSDARG00000043128"	"cldne"
"1259"	"ENSG00000189143"	"ENST00000435050"	"CLDN4"	"ENSDARG00000043128"	"cldne"
"1260"	"ENSG00000189143"	"ENST00000476494"	"CLDN4"	"ENSDARG00000043128"	"cldne"
"1261"	"ENSG00000189143"	"ENST00000431918"	"CLDN4"	"ENSDARG00000043128"	"cldne"
"1262"	"ENSG00000189143"	"ENST00000340958"	"CLDN4"	"ENSDARG00000043128"	"cldne"
"1280"	"ENSG00000278074"	"ENST00000618297"	"KIR2DL4"	""	""
"1527"	"ENSG00000112902"	"ENST00000382496"	"SEMA5A"	"ENSDARG00000058821"	"sema5a"
"1528"	"ENSG00000112902"	"ENST00000514923"	"SEMA5A"	"ENSDARG00000058821"	"sema5a"
"1529"	"ENSG00000112902"	"ENST00000513968"	"SEMA5A"	"ENSDARG00000058821"	"sema5a"
"1530"	"ENSG00000112902"	"ENST00000509486"	"SEMA5A"	"ENSDARG00000058821"	"sema5a"
"1655"	"ENSG00000274406"	"ENST00000620669"	"KIR2DS4"	""	""
"1673"	"ENSG00000273518"	"ENST00000617680"	"KIR3DL1"	""	""
"1674"	"ENSG00000273518"	"ENST00000619271"	"KIR3DL1"	""	""
"1756"	"ENSG00000145777"	"ENST00000420978"	"TSLP"	""	""
"1757"	"ENSG00000145777"	"ENST00000344895"	"TSLP"	""	""
"1758"	"ENSG00000145777"	"ENST00000379706"	"TSLP"	""	""
"1786"	"ENSG00000183813"	"ENST00000330953"	"CCR4"	"ENSDARG00000070755"	"ccr11.1"
"1787"	"ENSG00000183813"	"ENST00000330953"	"CCR4"	"ENSDARG00000079829"	"ccr2"
"1788"	"ENSG00000183813"	"ENST00000330953"	"CCR4"	"ENSDARG00000105363"	"si:ch211-207g17.3"
"2063"	"ENSG00000148400"	"ENST00000277541"	"NOTCH1"	"ENSDARG00000052094"	"notch1b"
"2064"	"ENSG00000148400"	"ENST00000645828"	"NOTCH1"	"ENSDARG00000052094"	"notch1b"
"2065"	"ENSG00000148400"	"ENST00000494783"	"NOTCH1"	"ENSDARG00000052094"	"notch1b"
"2066"	"ENSG00000148400"	"ENST00000646957"	"NOTCH1"	"ENSDARG00000052094"	"notch1b"
"2067"	"ENSG00000148400"	"ENST00000491649"	"NOTCH1"	"ENSDARG00000052094"	"notch1b"
"2068"	"ENSG00000148400"	"ENST00000277541"	"NOTCH1"	"ENSDARG00000103554"	"notch1a"
"2069"	"ENSG00000148400"	"ENST00000645828"	"NOTCH1"	"ENSDARG00000103554"	"notch1a"
"2070"	"ENSG00000148400"	"ENST00000494783"	"NOTCH1"	"ENSDARG00000103554"	"notch1a"
"2071"	"ENSG00000148400"	"ENST00000646957"	"NOTCH1"	"ENSDARG00000103554"	"notch1a"
"2072"	"ENSG00000148400"	"ENST00000491649"	"NOTCH1"	"ENSDARG00000103554"	"notch1a"
"2173"	"ENSG00000107014"	"ENST00000381627"	"RLN2"	""	""
"2174"	"ENSG00000107014"	"ENST00000416837"	"RLN2"	""	""
"2205"	"ENSG00000010610"	"ENST00000535707"	"CD4"	""	""
"2206"	"ENSG00000010610"	"ENST00000011653"	"CD4"	""	""
"2207"	"ENSG00000010610"	"ENST00000536610"	"CD4"	""	""
"2208"	"ENSG00000010610"	"ENST00000544344"	"CD4"	""	""
"2209"	"ENSG00000010610"	"ENST00000541982"	"CD4"	""	""
"2210"	"ENSG00000010610"	"ENST00000538827"	"CD4"	""	""
"2211"	"ENSG00000010610"	"ENST00000437800"	"CD4"	""	""
"2212"	"ENSG00000010610"	"ENST00000535466"	"CD4"	""	""
"2213"	"ENSG00000010610"	"ENST00000536590"	"CD4"	""	""
"2214"	"ENSG00000010610"	"ENST00000539492"	"CD4"	""	""
"2215"	"ENSG00000010610"	"ENST00000536563"	"CD4"	""	""
"2216"	"ENSG00000010610"	"ENST00000543755"	"CD4"	""	""
"2223"	"ENSG00000136859"	"ENST00000373425"	"ANGPTL2"	"ENSDARG00000116302"	"CABZ01039096.1"
"2224"	"ENSG00000136859"	"ENST00000373417"	"ANGPTL2"	"ENSDARG00000116302"	"CABZ01039096.1"
"2225"	"ENSG00000136859"	"ENST00000491991"	"ANGPTL2"	"ENSDARG00000116302"	"CABZ01039096.1"
"2226"	"ENSG00000136859"	"ENST00000470194"	"ANGPTL2"	"ENSDARG00000116302"	"CABZ01039096.1"
"2377"	"ENSG00000275276"	"ENST00000616310"	"KIR2DL1"	""	""
"2466"	"ENSG00000130287"	"ENST00000252575"	"NCAN"	"ENSDARG00000100128"	"CU861477.1"
"2467"	"ENSG00000130287"	"ENST00000590187"	"NCAN"	"ENSDARG00000100128"	"CU861477.1"
"2468"	"ENSG00000130287"	"ENST00000588231"	"NCAN"	"ENSDARG00000100128"	"CU861477.1"
"2469"	"ENSG00000130287"	"ENST00000585410"	"NCAN"	"ENSDARG00000100128"	"CU861477.1"
"2470"	"ENSG00000130287"	"ENST00000252575"	"NCAN"	"ENSDARG00000005783"	"ncanb"
"2471"	"ENSG00000130287"	"ENST00000590187"	"NCAN"	"ENSDARG00000005783"	"ncanb"
"2472"	"ENSG00000130287"	"ENST00000588231"	"NCAN"	"ENSDARG00000005783"	"ncanb"
"2473"	"ENSG00000130287"	"ENST00000585410"	"NCAN"	"ENSDARG00000005783"	"ncanb"
"2689"	"ENSG00000276536"	"ENST00000631627"	"HRAS"	""	""
"2690"	"ENSG00000276536"	"ENST00000631967"	"HRAS"	""	""
"2691"	"ENSG00000276536"	"ENST00000631404"	"HRAS"	""	""
"2692"	"ENSG00000276536"	"ENST00000634098"	"HRAS"	""	""
"2693"	"ENSG00000276536"	"ENST00000632658"	"HRAS"	""	""
"2694"	"ENSG00000276536"	"ENST00000615062"	"HRAS"	""	""
"2695"	"ENSG00000276536"	"ENST00000632849"	"HRAS"	""	""
"2696"	"ENSG00000276536"	"ENST00000633137"	"HRAS"	""	""
"2697"	"ENSG00000276536"	"ENST00000633700"	"HRAS"	""	""
"2698"	"ENSG00000276536"	"ENST00000616241"	"HRAS"	""	""
"2699"	"ENSG00000276536"	"ENST00000610977"	"HRAS"	""	""
"2933"	"ENSG00000053747"	"ENST00000313654"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2934"	"ENSG00000053747"	"ENST00000585600"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2935"	"ENSG00000053747"	"ENST00000399516"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2936"	"ENSG00000053747"	"ENST00000591749"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2937"	"ENSG00000053747"	"ENST00000592519"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2938"	"ENSG00000053747"	"ENST00000269217"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2939"	"ENSG00000053747"	"ENST00000587184"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2940"	"ENSG00000053747"	"ENST00000586751"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2941"	"ENSG00000053747"	"ENST00000588770"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2942"	"ENSG00000053747"	"ENST00000586709"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2943"	"ENSG00000053747"	"ENST00000588164"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2944"	"ENSG00000053747"	"ENST00000592442"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2945"	"ENSG00000053747"	"ENST00000590104"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2946"	"ENSG00000053747"	"ENST00000588004"	"LAMA3"	"ENSDARG00000071462"	"lama3"
"2947"	"ENSG00000053747"	"ENST00000313654"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2948"	"ENSG00000053747"	"ENST00000585600"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2949"	"ENSG00000053747"	"ENST00000399516"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2950"	"ENSG00000053747"	"ENST00000591749"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2951"	"ENSG00000053747"	"ENST00000592519"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2952"	"ENSG00000053747"	"ENST00000269217"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2953"	"ENSG00000053747"	"ENST00000587184"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2954"	"ENSG00000053747"	"ENST00000586751"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2955"	"ENSG00000053747"	"ENST00000588770"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2956"	"ENSG00000053747"	"ENST00000586709"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2957"	"ENSG00000053747"	"ENST00000588164"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2958"	"ENSG00000053747"	"ENST00000592442"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2959"	"ENSG00000053747"	"ENST00000590104"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2960"	"ENSG00000053747"	"ENST00000588004"	"LAMA3"	"ENSDARG00000022615"	"si:ch211-241e1.3"
"2999"	"ENSG00000121351"	"ENST00000539393"	"IAPP"	"ENSDARG00000105976"	"LO017820.1"
"3000"	"ENSG00000121351"	"ENST00000240652"	"IAPP"	"ENSDARG00000105976"	"LO017820.1"
